Year, Average MHW(m) 
1921, 3.9183999999999997 
1922, 3.9010833333333337 
1923, 3.8990833333333335 
1924, 3.9105833333333337 
1925, 3.8723333333333336 
1926, 3.871416666666667 
1927, 3.9030000000000005 
1928, 3.859083333333334 
1929, 3.850000000000001 
1930, 3.8215833333333333 
1931, 3.8880833333333342 
1932, 3.8843333333333336 
1933, 3.9105000000000003 
1934, 3.849833333333334 
1935, 3.899833333333334 
1936, 3.9068333333333336 
1937, 3.9395000000000002 
1938, 3.9636666666666667 
1939, 3.9785833333333342 
1940, 3.983166666666667 
1941, 3.97425 
1942, 3.988416666666667 
1943, 3.9790833333333335 
1944, 3.9725 
1945, 4.006416666666667 
1946, 3.9550000000000005 
1947, 3.965916666666667 
1948, 3.9520833333333343 
1949, 3.8870833333333343 
1950, 3.910083333333334 
1951, 3.970583333333334 
1952, 3.974083333333334 
1953, 3.9844999999999993 
1954, 3.9933333333333336 
1955, 4.012166666666668 
1956, 4.027500000000001 
1957, 3.9846666666666675 
1958, 4.081416666666667 
1959, 4.0025 
1960, 4.085083333333333 
1961, 4.074750000000001 
1962, 4.051666666666667 
1963, 4.0177499999999995 
1964, 4.012250000000001 
1965, 3.98475 
1966, 3.9989166666666676 
1967, 4.006583333333333 
1968, 3.9821666666666666 
1969, 4.032833333333334 
1970, 4.0142500000000005 
1971, 4.0311666666666675 
1972, 4.057416666666668 
1973, 4.0799166666666675 
1974, 4.050416666666667 
1975, 4.068250000000001 
1976, 4.053083333333333 
1977, 4.086583333333334 
1978, 4.093833333333334 
1979, 4.065083333333333 
1980, 4.059 
1981, 4.0512500000000005 
1982, 4.023666666666668 
1983, 4.0921666666666665 
1984, 4.048416666666667 
1985, 4.0285 
1986, 4.012416666666666 
1987, 4.026500000000001 
1988, 3.9849166666666664 
1989, 3.9865 
1990, 3.9975000000000005 
1991, 4.050250000000001 
1992, 4.074166666666667 
1993, 4.119416666666668 
1994, 4.061583333333333 
1995, 4.106916666666667 
1996, 4.155333333333334 
1997, 4.138916666666666 
1998, 4.160333333333333 
1999, 4.111666666666666 
2000, 4.104416666666667 
2001, 4.0819166666666655 
2002, 4.068583333333333 
2003, 4.086166666666666 
2004, 4.06625 
2005, 4.130666666666667 
2006, 4.110083333333333 
2007, 4.077916666666667 
2008, 4.097166666666667 
2009, 4.1412 
2010, 4.238083333333333 
2011, 4.19775 
2012, 4.172 
2013, 4.200166666666666 
2014, 4.212833333333333 
2015, 4.170750000000001 
2016, 4.2050833333333335 
2017, 4.214909090909091 
2018, 4.232083333333333 
2019, 4.215083333333333 
2020, 4.194333333333333 
2021, 4.18475 
2022, 4.148833333333333 
